async-await,Async and Await
delegates,Delegates
dynamic,Dynamic
extension-methods,Extension Methods
garbage-collection,Garbage Collection
generics,Generics
lambdas,Lambdas
linq,LINQ
netstandard,.NET Standard
nuget,NuGet
open-standards,Open Standards
p-invoke,P/Invoke
portable-class-libraries,Portable Class Libraries
reflection,Reflection
simd,SIMD
task-parallel-library,Task Parallel Library
